source,country,rep,n_train,estimate,error,train_sources
armstrong,USA,46,37,0.17344471498399308,0.04014919598229144,cas|fmkbelgrade|brookcuny|psualtoona|help|uned|salford|moralsense|jmu|tilburg|radboud|pascal|queensland2|badaniaon|seznam|tamucc|unswonline|northumbria|csunorthonline|georgefox|grazvienna|seznamon|puc|loyola|louvain|rotterdam|yale|lse|bogota|hawaiion|tanzaniaon|munich|simmons|aus2|umich|swps|ritonline
armstrong,USA,47,37,0.16456837823924955,0.03127285923754791,seznam|loyola|fmkbelgrade|jmu|vcu|westernkentucky|salford|ouhk|metu|cas|moralsense|tilburg|tamu|unswonline|aus2|osnabruck|puc|georgefox|hawaiion|jos|carleton|uned|padua|simmons|northumbria|pascal|help|seznamon|vuw|ritonline|munich|louvain|tanzaniaon|rotterdam|swps|kenyon|badaniaon
armstrong,USA,48,37,0.16209012090434913,0.028794601902647488,unswonline|pascal|seznam|ouhk|loyola|simmons|umich|badaniaon|ritonline|tilburgcaf|cas|jos|bogota|fmkbelgrade|tamucc|aus2|tamu|georgefox|brookcuny|padua|osnabruck|kenyon|louvain|hawaiion|kwazulu|westernkentucky|yale|ulatina|swps|lse|seznamon|tanzania|moralsense|salford|queensland2|tanzaniaon|carleton
armstrong,USA,49,37,0.1731260627440523,0.03983054374235065,fmkbelgrade|puc|seznam|cas|hawaiion|mturk|pascal|munich|metu|unswonline|yale|munichon|mcdanielonline|bogota|northumbria|kwazulu|salford|moralsense|rotterdam|help|louvain|csunorthonline|ouhk|tilburgcaf|vcu|carleton|ritonline|swps|queensland2|tamucc|aus2|badaniaon|krakowon|tamu|ulatina|lse|vuw
armstrong,USA,50,37,0.17414570978086374,0.040850190779162104,simmons|yale|uned|moralsense|help|puc|swps|munichon|osnabruck|cas|lse|seznam|queensland2|rotterdam|bogota|kwazulu|carleton|ulatina|vuw|grazvienna|csunorthonline|ritonline|hawaiion|unswonline|jmu|tanzania|vcu|northumbria|seznamon|tilburg|salford|tanzaniaon|munich|brookcuny|mcdanielonline|badaniaon|kenyon
armstrong,USA,51,37,0.17892056328502276,0.04562504428332112,seznamon|tanzaniaon|cas|swps|puc|simmons|csunorthonline|jos|ritonline|jmu|unswonline|metu|osnabruck|tilburg|rotterdam|loyola|louvain|psualtoona|mcdanielonline|ouhk|salford|carleton|hawaiion|pascal|krakowon|grazvienna|vcu|queensland2|kwazulu|munich|brookcuny|bogota|yale|tamucc|aus2|seznam|help
armstrong,USA,52,37,0.17546819141623665,0.04217267241453501,lse|badaniaon|kenyon|pascal|tanzania|yale|loyola|puc|northumbria|uned|queensland2|westernkentucky|osnabruck|csunorthonline|krakowon|padua|ulatina|tamucc|tilburgcaf|carleton|moralsense|georgefox|mturk|umich|seznam|mcdanielonline|aus2|munich|louvain|tilburg|swps|vcu|bogota|grazvienna|salford|tanzaniaon|brookcuny
armstrong,USA,53,37,0.1683514235889423,0.03505590458724067,seznam|munich|carleton|tanzania|loyola|metu|northumbria|munichon|rotterdam|mturk|queensland2|swps|kenyon|tanzaniaon|unswonline|pascal|tamucc|jmu|padua|mcdanielonline|vcu|ritonline|bogota|ulatina|csunorthonline|uned|louvain|fmkbelgrade|tamu|georgefox|brookcuny|umich|ouhk|osnabruck|simmons|salford|puc
armstrong,USA,54,37,0.19046910884763027,0.05717358984592863,swps|georgefox|rotterdam|osnabruck|unswonline|kwazulu|westernkentucky|queensland2|northumbria|seznam|hawaiion|vuw|ulatina|brookcuny|ritonline|fmkbelgrade|psualtoona|mturk|cas|grazvienna|tanzania|louvain|carleton|munich|yale|tilburgcaf|csunorthonline|salford|padua|umich|munichon|jos|seznamon|krakowon|help|tamucc|ouhk
armstrong,USA,55,37,0.16028761173655615,0.026992092734854506,louvain|grazvienna|ouhk|loyola|simmons|krakowon|badaniaon|georgefox|puc|kenyon|lse|osnabruck|carleton|ulatina|metu|swps|queensland2|pascal|unswonline|seznamon|csunorthonline|vcu|tanzania|tamucc|kwazulu|munich|northumbria|fmkbelgrade|westernkentucky|seznam|bogota|tilburgcaf|aus2|tanzaniaon|moralsense|jos|uned
