ambiguity_radius_Ld,inverse_information_noise,empirical_worst_case_mae,mc_standard_error,max_rate_reference,risk_to_max_rate_ratio,dominant_regime,replications,seed
0.345510729459222,0.024244620170823284,0.34560704909818024,0.00012113438186585774,0.345510729459222,1.0002787746681818,mechanism ambiguity,40000,2026091603
0.41246263829013524,0.024244620170823284,0.41255895792909353,0.00012113438186585774,0.41246263829013524,1.0002335233061534,mechanism ambiguity,40000,2026091603
0.49238826317067413,0.024244620170823284,0.4924845828096323,0.00012113438186585774,0.49238826317067413,1.0001956172519992,mechanism ambiguity,40000,2026091603
0.5878016072274915,0.024244620170823284,0.5878979268664498,0.00012113438186585774,0.5878016072274915,1.0001638641980117,mechanism ambiguity,40000,2026091603
0.701703828670383,0.024244620170823284,0.7018001483093412,0.00012113438186585774,0.701703828670383,1.000137265374682,mechanism ambiguity,40000,2026091603
0.837677640068292,0.024244620170823284,0.8377739597072501,0.00012113438186585774,0.837677640068292,1.0001149841351265,mechanism ambiguity,40000,2026091603
1.0,0.024244620170823284,1.000096319638958,0.00012113438186585774,1.0,1.000096319638958,mechanism ambiguity,40000,2026091603
0.01,0.028942661247167517,0.024454364867637007,9.229524694493558e-05,0.028942661247167517,0.8449245443879229,sampling noise,40000,2026091603
0.011937766417144363,0.028942661247167517,0.025047311020683992,9.411972534878163e-05,0.028942661247167517,0.8654114701748532,sampling noise,40000,2026091603
0.014251026703029978,0.028942661247167517,0.02587801252375476,9.658559765283488e-05,0.028942661247167517,0.8941130984037385,sampling noise,40000,2026091603
0.017012542798525893,0.028942661247167517,0.027038600600574454,9.983827761252168e-05,0.028942661247167517,0.9342126617061033,sampling noise,40000,2026091603
0.020309176209047358,0.028942661247167517,0.028647541358998406,0.0001040320341855402,0.028942661247167517,0.9898032912160767,sampling noise,40000,2026091603
0.024244620170823284,0.028942661247167517,0.030861172177275183,0.0001092498686817233,0.028942661247167517,1.066286611093699,sampling noise,40000,2026091603
0.028942661247167517,0.028942661247167517,0.033892633487106416,0.00011533435041677031,0.028942661247167517,1.1710268519424187,mechanism ambiguity,40000,2026091603
0.0345510729459222,0.028942661247167517,0.03796336776444351,0.00012216425301525178,0.0345510729459222,1.0987608930079273,mechanism ambiguity,40000,2026091603
0.04124626382901352,0.028942661247167517,0.04338120384745357,0.00012896430326318997,0.04124626382901352,1.0517608098345694,mechanism ambiguity,40000,2026091603
0.04923882631706739,0.028942661247167517,0.05042967017309254,0.00013500891107149035,0.04923882631706739,1.0241850577094762,mechanism ambiguity,40000,2026091603
0.05878016072274912,0.028942661247167517,0.05936541635622807,0.00013971721373365133,0.05878016072274912,1.009956686512639,mechanism ambiguity,40000,2026091603
0.07017038286703829,0.028942661247167517,0.07044296497391521,0.00014267733703127075,0.07017038286703829,1.0038845748838712,mechanism ambiguity,40000,2026091603
0.0837677640068292,0.028942661247167517,0.08391907687807652,0.00014407947230875228,0.0837677640068292,1.001806337712858,mechanism ambiguity,40000,2026091603
0.1,0.028942661247167517,0.10011976239075018,0.00014452466550155465,0.1,1.0011976239075018,mechanism ambiguity,40000,2026091603
0.1193776641714437,0.028942661247167517,0.11949264830657041,0.0001446073955799778,0.1193776641714437,1.0009631963895824,mechanism ambiguity,40000,2026091603
