instance,dimension,candidate_count,budget,exhaustive_subset_count,optimal_information_gain,greedy_information_gain,greedy_to_optimal_ratio,random_mean_information_gain,random_mean_to_optimal_ratio,random_q10_to_optimal_ratio,random_q90_to_optimal_ratio,greedy_subset,optimal_subset,random_subsets_per_instance,seed
102,6,12,4,495,4.755964055700248,4.7559640557002485,1.0000000000000002,3.2603032763793562,0.6855189059874683,0.5661120684638534,0.8089206581174906,1 2 3 5,1 2 3 5,250,2026091604
103,6,12,4,495,3.2824265900345964,3.2824265900345964,1.0,2.291224656905778,0.6980276920318356,0.5788090576343929,0.8360531917007179,1 7 10 11,1 7 10 11,250,2026091604
104,6,12,4,495,4.506112029628758,4.506112029628757,0.9999999999999998,3.3552265752218546,0.7445945758029187,0.6098153393280183,0.8641037839963528,1 5 8 11,1 5 8 11,250,2026091604
105,6,12,4,495,5.336082402561444,5.336082402561444,1.0,3.3492781035767187,0.6276661136209191,0.47113080202826785,0.7770925826269606,0 5 7 10,0 5 7 10,250,2026091604
106,6,12,4,495,4.331004667270115,4.331004667270115,1.0,2.978223445925386,0.6876518671134557,0.5389274540518207,0.8627296519024845,2 3 6 10,2 3 6 10,250,2026091604
107,6,12,4,495,3.280211149890367,3.280211149890367,1.0,2.394887593030463,0.7301016561420158,0.6022308596327429,0.8616784564485724,0 4 5 7,0 4 5 7,250,2026091604
108,6,12,4,495,4.624683382481251,4.62468338248125,0.9999999999999998,3.2454610454904556,0.7017693487481923,0.5666842580308666,0.8301519922918257,6 7 8 10,6 7 8 10,250,2026091604
109,6,12,4,495,4.0181907989999806,4.01819079899998,0.9999999999999998,2.9384299673104453,0.7312818415794843,0.5841400816033103,0.8632240001972891,2 5 9 11,2 5 9 11,250,2026091604
110,6,12,4,495,4.256605542158273,4.256605542158273,1.0,2.837495377662048,0.6666098959743687,0.5003627776091094,0.8114086204412067,0 2 4 10,0 2 4 10,250,2026091604
111,6,12,4,495,5.869588253340684,5.869588253340684,1.0,4.484021215344495,0.7639413570095669,0.648041417174031,0.8815277887107906,3 5 8 10,3 5 8 10,250,2026091604
112,6,12,4,495,4.7778964881724635,4.777896488172464,1.0000000000000002,3.186220861592421,0.6668668669318836,0.5057548763225138,0.8327391087325512,1 3 4 6,1 3 4 6,250,2026091604
113,6,12,4,495,4.029104564180395,4.029104564180397,1.0000000000000004,2.518251372645946,0.6250151448125079,0.43933479785516943,0.8242864901390645,2 7 10 11,2 7 10 11,250,2026091604
114,6,12,4,495,5.303007143476116,5.303007143476115,0.9999999999999997,3.300863491611837,0.6224512625204808,0.46575449747115877,0.801650255389396,0 4 8 10,0 4 8 10,250,2026091604
115,6,12,4,495,5.635419760430231,5.635419760430234,1.0000000000000004,4.263975690459953,0.7566385241433059,0.6539834432176542,0.8576386956902182,3 5 7 11,3 5 7 11,250,2026091604
116,6,12,4,495,3.600253882056568,3.5840336612868033,0.9954947008457916,2.6845375319936267,0.7456522845161526,0.5891046542742742,0.887461946492712,1 4 9 10,2 4 9 10,250,2026091604
117,6,12,4,495,2.880956187477771,2.880956187477771,1.0,2.2526281038410922,0.7819029368208582,0.6703836745604912,0.882197552993101,0 2 7 11,0 2 7 11,250,2026091604
118,6,12,4,495,3.5383845909574574,3.538384590957458,1.0000000000000002,2.6657183785749874,0.7533715767888495,0.627446264193745,0.8690320930209893,5 6 10 11,5 6 10 11,250,2026091604
119,6,12,4,495,4.96704906052343,4.967049060523431,1.0000000000000002,3.311073622255419,0.6666077950730964,0.5077910354148778,0.8195276013797258,0 2 5 10,0 2 5 10,250,2026091604
120,6,12,4,495,4.545947256240144,4.545947256240144,1.0,3.1384235406812904,0.6903783444414651,0.5643615846864972,0.8366774012474821,0 2 3 10,0 2 3 10,250,2026091604
121,6,12,4,495,3.9702710659303406,3.9702710659303406,1.0,2.473240216918681,0.6229398889516715,0.4561363294130284,0.8253506517182603,0 1 9 11,0 1 9 11,250,2026091604
122,6,12,4,495,4.260690210985104,4.260690210985105,1.0000000000000002,2.903766920955521,0.6815250058473854,0.5414977087388122,0.8275186971581343,3 6 7 11,3 6 7 11,250,2026091604
123,6,12,4,495,5.208336912489337,5.208336912489337,1.0,4.107362106790737,0.7886129825705943,0.6753737377587813,0.9001603076575473,2 5 7 10,2 5 7 10,250,2026091604
124,6,12,4,495,5.770083364899445,5.770083364899445,1.0,4.094927370518358,0.7096825316993873,0.5838102768402261,0.8460219824054497,1 2 6 10,1 2 6 10,250,2026091604
125,6,12,4,495,3.5966800025147725,3.596680002514773,1.0000000000000002,2.6581680981233475,0.7390616057766541,0.6004362008727769,0.8846752091873005,0 1 2 3,0 1 2 3,250,2026091604
126,6,12,4,495,5.380930820591136,5.380930820591136,1.0,3.657426082783314,0.6797013759752292,0.5282492512595489,0.8387589708947307,4 5 8 10,4 5 8 10,250,2026091604
127,6,12,4,495,4.472779887963458,4.472779887963458,1.0,2.8742979285609835,0.6426200261488177,0.4952469148880432,0.7828386518016648,1 2 8 11,1 2 8 11,250,2026091604
128,6,12,4,495,4.938735420717299,4.938735420717298,0.9999999999999998,3.459717705009022,0.7005270398766442,0.5478144706040226,0.8494847320099232,1 7 8 9,1 7 8 9,250,2026091604
129,6,12,4,495,3.7419581976180782,3.7419581976180782,1.0,2.7626526238608804,0.7382906162926755,0.6272895704377859,0.8406215715237284,2 4 8 9,2 4 8 9,250,2026091604
130,6,12,4,495,3.3254244318941293,3.3254244318941293,1.0,2.4001338793279454,0.7217526449581212,0.6281183602555562,0.8448876056213682,3 8 9 11,3 8 9 11,250,2026091604
131,6,12,4,495,4.226653275365303,4.224935841369987,0.9995936657484243,2.9052007722103936,0.6873525181597259,0.5249264825483335,0.8556074419867495,1 3 9 11,0 1 3 9,250,2026091604
132,6,12,4,495,3.115023124897622,3.115023124897622,1.0,2.3668320156019873,0.7598120208753748,0.6564448142183779,0.8927448627426473,2 3 5 10,2 3 5 10,250,2026091604
133,6,12,4,495,5.434986595265358,5.434986595265358,1.0,4.006005950222666,0.737077429724015,0.6050368915679005,0.8598419544338857,0 5 7 8,0 5 7 8,250,2026091604
134,6,12,4,495,5.116778115999975,5.116778115999976,1.0000000000000002,3.5068996354888426,0.6853726223779174,0.5238284629698906,0.8619288117452255,2 4 8 9,2 4 8 9,250,2026091604
135,6,12,4,495,4.820115291937267,4.645172844475461,0.9637057545585193,3.858038997198485,0.8004038832124883,0.6994754152920659,0.8880056533373446,2 3 7 11,2 3 4 11,250,2026091604
136,6,12,4,495,2.6307532261786406,2.6307532261786415,1.0000000000000004,1.799618285005988,0.6840695915899585,0.5403112042966406,0.8257949128475951,1 4 5 7,1 4 5 7,250,2026091604
137,6,12,4,495,4.254669010063605,4.254669010063605,1.0,3.169200903554818,0.7448760164559642,0.6138633057586692,0.8776494680556498,1 4 7 11,1 4 7 11,250,2026091604
138,6,12,4,495,4.20830929695672,4.20830929695672,1.0,3.272106096275221,0.7775346024688529,0.6522099613544815,0.9045755723962272,3 5 7 9,3 5 7 9,250,2026091604
139,6,12,4,495,3.692186948502833,3.692186948502833,1.0,2.621529536253614,0.710020801443067,0.586614065191192,0.8341579603073686,3 6 8 10,3 6 8 10,250,2026091604
140,6,12,4,495,5.161515514279742,5.161515514279743,1.0000000000000002,3.5237743835154642,0.6827014999309142,0.5063834824036969,0.8548334701662531,0 4 6 10,0 4 6 10,250,2026091604
141,6,12,4,495,4.119923917881795,4.1199239178817955,1.0000000000000002,3.1292308568284892,0.7595360786267485,0.6319517033655736,0.8806765195227001,1 2 9 11,1 2 9 11,250,2026091604
142,6,12,4,495,4.90556992673931,4.694945842147751,0.9570642987997199,3.659319010732418,0.7459518599023898,0.6244864771242086,0.8616334977178681,1 3 6 9,1 6 7 9,250,2026091604
143,6,12,4,495,4.3284914216053885,4.328491421605388,0.9999999999999998,3.1560067929412154,0.7291239569491136,0.6117922387110045,0.8544617722573417,2 3 9 10,2 3 9 10,250,2026091604
144,6,12,4,495,4.177930532780497,4.177930532780497,1.0,2.6445845847241913,0.6329891231973566,0.46415582273148115,0.7957917334637397,0 2 10 11,0 2 10 11,250,2026091604
145,6,12,4,495,3.7936697090169162,3.7936697090169162,1.0,2.6290060422151154,0.6929981373882943,0.5606422447273254,0.8229595750211643,3 8 9 10,3 8 9 10,250,2026091604
146,6,12,4,495,4.184330531486741,4.184330531486741,1.0,2.662170739894459,0.636223816417428,0.4564522464379654,0.8043883920365038,0 1 7 9,0 1 7 9,250,2026091604
