surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.301630638206,1.05433703409,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.252897330434,1.01596180952,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.207298688197,0.973808550216,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,1,200,,,0,0,0,1,96,0.0840566250378,0.681829940751,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,2,200,,,0,0,0,1,192,0.044362148875,0.575701618743,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,3,200,,,0,0,0,1,288,0.0400946481859,0.546674236544,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,1,200,0.0355850725253,0,107,0.535,0,1,96,0.0840566250378,0.681829940751,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,2,200,0.0390301996277,0,160,0.8,0,1,192,0.044362148875,0.575701618743,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,3,200,0.0386641509122,0,187,0.935,0,1,288,0.0400946481859,0.546674236544,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.313480997969,1.0760380777,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.222997265596,0.954399104024,1
linear,bridgeable,random,rinf,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.156254293552,0.863840296143,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,random,rinf,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.313480997969,1.0760380777,1
