surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,random,r2,optimized__minimum,0.2,2,200,0.0341748940491,0,124,0.62,0,1,171.84,0.0408509897014,0.444799979774,1
linear,bridgeable,random,r2,optimized__minimum,0.2,3,200,0.0327314473775,0,178,0.89,0,1,208.32,0.0344540456491,0.385497250757,1
linear,bridgeable,random,r2,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,random,r2,optimized__minimum,0.3,1,200,0.0418158275586,0,132,0.66,0,1,96,0.0823958883602,0.53976753549,1
linear,bridgeable,random,r2,optimized__minimum,0.3,2,200,0.041750364689,0,191,0.955,0,1,128.64,0.0439139154387,0.45469517844,1
linear,bridgeable,random,r2,optimized__minimum,0.3,3,200,0.0409965395352,0,200,1,0,1,132.96,0.0409965395352,0.444822076851,1
linear,bridgeable,random,r2,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,random,r2,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.313480997969,0.633563190714,1
linear,bridgeable,random,r2,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.222997265596,0.545624999259,1
linear,bridgeable,random,r2,uniform__minimum,0.2,3,200,0.0382029208798,0,8,0.04,0,1,288,0.156254293552,0.508125599924,1
linear,bridgeable,random,r2,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,random,r2,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.313480997969,0.633563190714,1
linear,bridgeable,random,r2,uniform__minimum,0.3,2,200,0.133727472856,0,28,0.14,0,1,192,0.222997265596,0.547283629643,1
linear,bridgeable,random,r2,uniform__minimum,0.3,3,200,0.121645158997,0,100,0.5,0,1,274.56,0.161717458778,0.521970475545,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.440822653908,0.606929952634,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.421853482676,0.518861844407,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.403521638051,0.487066871145,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.05073296032,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.440822653908,0.606929952634,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.421853482676,0.518861844407,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.403521638051,0.487066871145,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.255913914472,0.606929952634,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.174801489032,0.518861844407,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.140448711456,0.487066871145,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.255913914472,0.606929952634,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.174801489032,0.518861844407,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.140448711456,0.487066871145,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,1,200,,,0,0,0,1,96,0.0840566250378,0.606929952634,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,2,200,,,0,0,0,1,192,0.044362148875,0.518861844407,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,3,200,,,0,0,0,1,288,0.0400946481859,0.487066871145,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,1,200,0.0355850725253,0,107,0.535,0,1,96,0.0840566250378,0.593434758227,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,2,200,0.0409910848973,0,160,0.8,0,1,140.64,0.0459308570906,0.545599695748,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,3,200,0.0403134787037,0,187,0.935,0,1,159.84,0.0416367696709,0.544096054217,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.301630638206,0.606929952634,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.252897330434,0.518861844407,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.207298688197,0.487066871145,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.05073296032,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.301630638206,0.606929952634,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.252897330434,0.518861844407,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.207298688197,0.487066871145,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,1,200,,,0,0,0,1,96,0.0840566250378,0.606929952634,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,2,200,,,0,0,0,1,192,0.044362148875,0.518861844407,1
linear,bridgeable,random,rinf,optimized__minimum,0.2,3,200,,,0,0,0,1,288,0.0400946481859,0.487066871145,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.05073296032,1
linear,bridgeable,random,rinf,optimized__minimum,0.3,1,200,0.0355850725253,0,107,0.535,0,1,96,0.0840566250378,0.593434758227,1
