scenario,schedule,mode,tolerance,regime,reference,comparator,metric,difference,lower,upper,n_worlds
bridgeable,random,r2,0.3,stopped,optimized__minimum,inverse_variance__minimum,new_n,-128.32,-132.64,-124,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,inverse_variance__minimum,error,-0.321774989557,-0.32478555783,-0.318717403833,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,inverse_variance__minimum,width,-0.118130768685,-0.126358043524,-0.109708324741,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,nearest_source__minimum,released,1,1,1,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,nearest_source__minimum,new_n,-128.32,-132.64,-123.84,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,nearest_source__minimum,error,-0.0907848204905,-0.0993888958568,-0.0822546786577,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,nearest_source__minimum,width,-0.118130768685,-0.126855741483,-0.109811432194,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__lipschitz,released,1,1,1,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__lipschitz,new_n,-128.32,-132.8,-123.84,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__lipschitz,error,-0.081259020214,-0.0886465484491,-0.0739219251824,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,optimized__lipschitz,width,-0.118130768685,-0.126359475357,-0.109386819373,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,uniform__minimum,released,0.796666666667,0.77,0.823333333333,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,uniform__minimum,bad_release,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,uniform__minimum,path_covered,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,uniform__minimum,new_n,-123.84,-128.32,-119.36,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,uniform__minimum,error,-0.102421298927,-0.107411336617,-0.097158666232,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,uniform__minimum,width,-0.114457285547,-0.123202193822,-0.105640420572,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,released,0,0,0,600
bridgeable,random,rinf,0.2,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
