delta,n_released,release_rate,mae,rmse,coverage,mean_interval_width
0.2370788115546825,51,0.8947368421052632,0.07907930782816135,0.09405108250180001,0.9803921568627451,0.3843098117657203
0.24146083136210447,51,0.8947368421052632,0.07907930782816135,0.09405108250180001,0.9803921568627451,0.3843098117657203
0.24584285116952642,51,0.8947368421052632,0.07907930782816135,0.09405108250180001,0.9803921568627451,0.3843098117657203
0.25022487097694834,52,0.9122807017543859,0.07888446515230653,0.0936318145618549,0.9807692307692307,0.3863797537752313
0.2546068907843704,52,0.9122807017543859,0.07888446515230653,0.0936318145618549,0.9807692307692307,0.3863797537752313
0.2589889105917923,52,0.9122807017543859,0.07888446515230653,0.0936318145618549,0.9807692307692307,0.3863797537752313
0.2633709303992142,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.26775295020663625,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.2721349700140582,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.2765169898214801,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.28089900962890213,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.28528102943632405,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.28966304924374603,53,0.9298245614035088,0.07815164675379567,0.09290726534329503,0.9811320754716981,0.388931925122716
0.294045069051168,54,0.9473684210526315,0.07837524016753343,0.09285831031168904,0.9814814814814815,0.39251160997950524
0.29842708885858993,54,0.9473684210526315,0.07837524016753343,0.09285831031168904,0.9814814814814815,0.39251160997950524
0.3028091086660119,54,0.9473684210526315,0.07837524016753343,0.09285831031168904,0.9814814814814815,0.39251160997950524
0.3071911284734339,54,0.9473684210526315,0.07837524016753343,0.09285831031168904,0.9814814814814815,0.39251160997950524
0.3115731482808558,54,0.9473684210526315,0.07837524016753343,0.09285831031168904,0.9814814814814815,0.39251160997950524
0.3159551680882778,54,0.9473684210526315,0.07837524016753343,0.09285831031168904,0.9814814814814815,0.39251160997950524
0.32033718789569976,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3247192077031217,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3291012275105436,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
