scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
nominal,140,evaluated,2.73813494891,True,"[0.7383642429760873, -0.741880170173531, -0.742688744626348, -0.043521446952675236, 0.054391964634579515]","[0.8213478246091636, -0.7180074081975392, -0.7832926039349349, -0.14602041170454066, 0.1671582775907547]","[[0.657059727674486, 0.9856359215438412], [-0.8822955051322168, -0.5537193112628616], [-0.9475807008696125, -0.6190045070002573], [-0.31030850863921833, 0.01826768523013697], [0.0028701806560770537, 0.33144637452543235]]","[0.61054798662174, -0.2658368046655859, -0.3386206621830202, -0.11093722175677057]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0514913
extrapolation,140,evaluated,2.73813494891,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6170164183669237, -0.5261272380240081, -0.4406038593085868, -0.35249896475186543, 1.0]","[[-0.7813045153016013, -0.45272832143224606], [-0.6904153349586857, -0.36183914108933046], [-0.6048919562432644, -0.2763157623739092], [-0.5167870616865431, -0.1882108678171878], [0.8357119030653224, 1.0]]","[-0.2690250857556075, -0.2250745586304794, -0.2504833868256096, -0.21664258848862178]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0159460999998
proxy_shift,140,evaluated,2.73813494891,False,"[0.7383642429760873, -0.741880170173531, -0.742688744626348, -0.043521446952675236, 0.054391964634579515]","[0.9873149878753161, -0.6702618842455554, -0.8645003225521086, -0.3510183412082715, 0.3926909035031051]","[[0.8230268909406385, 1.0], [-0.834549981180233, -0.5059737873108778], [-1.0, -0.700212225617431], [-0.5153064381429492, -0.1867302442735939], [0.22840280656842746, 0.5569790004377827]]","[0.61054798662174, -0.2658368046655859, -0.3386206621830202, -0.11093722175677057]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0590202000001
understated_LH,140,evaluated,2.73813494891,True,"[0.7383642429760873, -0.741880170173531, -0.742688744626348, -0.043521446952675236, 0.054391964634579515]","[0.8213478246091636, -0.7180074081975392, -0.7832926039349349, -0.14602041170454066, 0.1671582775907547]","[[0.657059727674486, 0.9856359215438412], [-0.8822955051322168, -0.5537193112628616], [-0.9475807008696125, -0.6190045070002573], [-0.31030850863921833, 0.01826768523013697], [0.0028701806560770537, 0.33144637452543235]]","[0.61054798662174, -0.2658368046655859, -0.3386206621830202, -0.11093722175677057]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0499358
high_noise,140,evaluated,2.73813494891,True,"[0.7383642429760873, -0.741880170173531, -0.742688744626348, -0.043521446952675236, 0.054391964634579515]","[0.8213478246091636, -0.7180074081975392, -0.7832926039349349, -0.14602041170454066, 0.1671582775907547]","[[0.657059727674486, 0.9856359215438412], [-0.8822955051322168, -0.5537193112628616], [-0.9475807008696125, -0.6190045070002573], [-0.31030850863921833, 0.01826768523013697], [0.0028701806560770537, 0.33144637452543235]]","[0.618497815110525, -0.23748592192654477, -0.4555874358342395, -0.2817223987340141]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0503748000001
bounded_nuisance_bias,140,evaluated,2.73813494891,True,"[0.7383642429760873, -0.741880170173531, -0.742688744626348, -0.043521446952675236, 0.054391964634579515]","[0.8213478246091636, -0.7180074081975392, -0.7832926039349349, -0.14602041170454066, 0.1671582775907547]","[[0.657059727674486, 0.9856359215438412], [-0.8822955051322168, -0.5537193112628616], [-0.9475807008696125, -0.6190045070002573], [-0.31030850863921833, 0.01826768523013697], [0.0028701806560770537, 0.33144637452543235]]","[0.55054798662174, -0.2058368046655859, -0.3986206621830202, -0.05093722175677057]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0470371000001
nominal,141,evaluated,2.6889498802,True,"[0.1857122329374299, 0.047477863228768014, -0.6636017733863127, -0.11205718393156405, -0.6009141772471205]","[0.11979234133333677, 0.11475451538717363, -0.6670768937917412, -0.13950465227069905, -0.5065709960087227]","[[-0.041544651478486266, 0.28112933414515984], [-0.04658247742464941, 0.27609150819899664], [-0.8284138866035642, -0.5057399009799182], [-0.3008416450825221, 0.021832340541123985], [-0.6679079888205457, -0.3452340031968997]]","[0.05810368413456447, 0.024818707910402842, -0.26280382479448544, -0.13981040074352916]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0377002
extrapolation,141,evaluated,2.6889498802,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.765919891604093, -0.4827233478415943, -0.40347512040542854, -0.277447468339135, 1.0]","[[-0.927256884415916, -0.60458289879227], [-0.6440603406534173, -0.3213863550297713], [-0.5648121132172516, -0.2421381275936055], [-0.43878446115095804, -0.11611047552731193], [0.838663007188177, 1.0]]","[-0.33667036566667535, -0.24359425427588882, -0.18875295485513555, -0.20759313412579244]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0134231
proxy_shift,141,evaluated,2.6889498802,False,"[0.1857122329374299, 0.047477863228768014, -0.6636017733863127, -0.11205718393156405, -0.6009141772471205]","[-0.012047441874849463, 0.24930781970398486, -0.6740271346025983, -0.19439958894896903, -0.31788463353192703]","[[-0.1733844346866725, 0.14928955093697358], [0.08797082689216182, 0.41064481251580787], [-0.8353641274144213, -0.5126901417907753], [-0.35573658176079204, -0.03306259613714599], [-0.4792216263437501, -0.156547640720104]]","[0.05810368413456447, 0.024818707910402842, -0.26280382479448544, -0.13981040074352916]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0461339999999
understated_LH,141,evaluated,2.6889498802,True,"[0.1857122329374299, 0.047477863228768014, -0.6636017733863127, -0.11205718393156405, -0.6009141772471205]","[0.11979234133333677, 0.11475451538717363, -0.6670768937917412, -0.13950465227069905, -0.5065709960087227]","[[-0.041544651478486266, 0.28112933414515984], [-0.04658247742464941, 0.27609150819899664], [-0.8284138866035642, -0.5057399009799182], [-0.3008416450825221, 0.021832340541123985], [-0.6679079888205457, -0.3452340031968997]]","[0.05810368413456447, 0.024818707910402842, -0.26280382479448544, -0.13981040074352916]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.014754
high_noise,141,evaluated,2.6889498802,True,"[0.1857122329374299, 0.047477863228768014, -0.6636017733863127, -0.11205718393156405, -0.6009141772471205]","[0.11979234133333677, 0.11475451538717363, -0.6670768937917412, -0.13950465227069905, -0.5065709960087227]","[[-0.041544651478486266, 0.28112933414515984], [-0.04658247742464941, 0.27609150819899664], [-0.8284138866035642, -0.5057399009799182], [-0.3008416450825221, 0.021832340541123985], [-0.6679079888205457, -0.3452340031968997]]","[-0.06923704719878615, 0.016130199358625148, -0.2563097345047566, -0.29249666899511406]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0469188
bounded_nuisance_bias,141,evaluated,2.6889498802,True,"[0.1857122329374299, 0.047477863228768014, -0.6636017733863127, -0.11205718393156405, -0.6009141772471205]","[0.11979234133333677, 0.11475451538717363, -0.6670768937917412, -0.13950465227069905, -0.5065709960087227]","[[-0.041544651478486266, 0.28112933414515984], [-0.04658247742464941, 0.27609150819899664], [-0.8284138866035642, -0.5057399009799182], [-0.3008416450825221, 0.021832340541123985], [-0.6679079888205457, -0.3452340031968997]]","[-0.0018963158654355244, 0.08481870791040284, -0.32280382479448544, -0.07981040074352916]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0373441000002
nominal,142,evaluated,2.50603904087,True,"[0.44433453354813945, 0.12091784951011653, 0.37398187740092137, -0.040186560482710965, 0.5040024460453731]","[0.44804193091785177, 0.14897631459717015, 0.39006553299109664, -0.034090975097164786, 0.5028461270296812]","[[0.2976795884657434, 0.5984042733699602], [-0.0013860278549382432, 0.29933865704927853], [0.23970319053898825, 0.540427875443205], [-0.1844533175492732, 0.1162713673549436], [0.35248378457757285, 0.6532084694817897]]","[0.40980884934280326, 0.09587266906623351, 0.33813584175727995, -0.000995718527580302]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00814400000013
extrapolation,142,evaluated,2.50603904087,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6962926026302877, -0.5219415349129464, -0.3839163444098247, -0.24390441461445383, 0.948843680984308]","[[-0.8466549450823961, -0.5459302601781792], [-0.6723038773650547, -0.371579192460838], [-0.5342786868619331, -0.2335540019577163], [-0.3942667570665622, -0.09354207216234545], [0.7984813385321996, 1.0]]","[-0.18902182409711324, -0.22031437853888172, -0.12021201807056814, -0.10861827013098291]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0120035000002
proxy_shift,142,evaluated,2.50603904087,True,"[0.44433453354813945, 0.12091784951011653, 0.37398187740092137, -0.040186560482710965, 0.5040024460453731]","[0.4554567256572764, 0.20509324477127738, 0.42223284417144724, -0.021899804326072435, 0.5005334889982974]","[[0.305094383205168, 0.6058190681093848], [0.054730902319168995, 0.35545558722338577], [0.27187050171933885, 0.5725951866235557], [-0.17226214677818083, 0.12846253812603595], [0.350171146546189, 0.6508958314504059]]","[0.40980884934280326, 0.09587266906623351, 0.33813584175727995, -0.000995718527580302]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0083302999999
understated_LH,142,evaluated,2.50603904087,True,"[0.44433453354813945, 0.12091784951011653, 0.37398187740092137, -0.040186560482710965, 0.5040024460453731]","[0.44804193091785177, 0.14897631459717015, 0.39006553299109664, -0.034090975097164786, 0.5028461270296812]","[[0.2976795884657434, 0.5984042733699602], [-0.0013860278549382432, 0.29933865704927853], [0.23970319053898825, 0.540427875443205], [-0.1844533175492732, 0.1162713673549436], [0.35248378457757285, 0.6532084694817897]]","[0.40980884934280326, 0.09587266906623351, 0.33813584175727995, -0.000995718527580302]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.00890720000007
high_noise,142,evaluated,2.50603904087,True,"[0.44433453354813945, 0.12091784951011653, 0.37398187740092137, -0.040186560482710965, 0.5040024460453731]","[0.44804193091785177, 0.14897631459717015, 0.39006553299109664, -0.034090975097164786, 0.5028461270296812]","[[0.2976795884657434, 0.5984042733699602], [-0.0013860278549382432, 0.29933865704927853], [0.23970319053898825, 0.540427875443205], [-0.1844533175492732, 0.1162713673549436], [0.35248378457757285, 0.6532084694817897]]","[0.5777652011485768, 0.13374391198847002, 0.4817118056161437, 0.04426774121045389]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0058011000001
bounded_nuisance_bias,142,evaluated,2.50603904087,True,"[0.44433453354813945, 0.12091784951011653, 0.37398187740092137, -0.040186560482710965, 0.5040024460453731]","[0.44804193091785177, 0.14897631459717015, 0.39006553299109664, -0.034090975097164786, 0.5028461270296812]","[[0.2976795884657434, 0.5984042733699602], [-0.0013860278549382432, 0.29933865704927853], [0.23970319053898825, 0.540427875443205], [-0.1844533175492732, 0.1162713673549436], [0.35248378457757285, 0.6532084694817897]]","[0.34980884934280326, 0.1558726690662335, 0.27813584175727996, 0.05900428147241969]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00694190000013
nominal,143,evaluated,2.45296841514,False,"[-0.445061503187935, 0.47258741939338633, -0.1939368287468769, 0.4749586735002935, 0.6667461022347669]","[-0.4671331377805862, 0.48962932178229557, -0.2820895883043178, 0.4223009473095205, 0.5088050012407961]","[[-0.6143112426889218, -0.3199550328722506], [0.34245121687395996, 0.6368074266906312], [-0.42926769321265346, -0.13491148339598216], [0.2751228424011849, 0.5694790522178561], [0.3616268963324605, 0.6559831061491317]]","[-0.21451578910893557, 0.36022913410337287, -0.009392587254177145, 0.3833164219047698]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0117857
extrapolation,143,evaluated,2.45296841514,False,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7220716345926511, -0.5329580976110907, -0.48815275955744086, -0.302657726190773, 0.7920588990060291]","[[-0.8692497395009867, -0.5748935296843155], [-0.6801362025194263, -0.3857799927027551], [-0.6353308644657765, -0.34097465464910526], [-0.44983583109910863, -0.1554796212824374], [0.6448807940976935, 0.9392370039143647]]","[-0.2799028096821458, -0.22957497822332898, -0.09631393806936962, -0.1005845046553539]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0111957000001
proxy_shift,143,evaluated,2.45296841514,False,"[-0.445061503187935, 0.47258741939338633, -0.1939368287468769, 0.4749586735002935, 0.6667461022347669]","[-0.5112764069658886, 0.523713126560114, -0.45839510741919964, 0.3169854949279745, 0.19292279925285455]","[[-0.6584545118742242, -0.364098302057553], [0.37653502165177843, 0.6708912314684496], [-0.6055732123275352, -0.31121700251086404], [0.16980739001963888, 0.46416359983631017], [0.045744694344518916, 0.3401009041611902]]","[-0.21451578910893557, 0.36022913410337287, -0.009392587254177145, 0.3833164219047698]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0371128999998
understated_LH,143,evaluated,2.45296841514,False,"[-0.445061503187935, 0.47258741939338633, -0.1939368287468769, 0.4749586735002935, 0.6667461022347669]","[-0.4671331377805862, 0.48962932178229557, -0.2820895883043178, 0.4223009473095205, 0.5088050012407961]","[[-0.6143112426889218, -0.3199550328722506], [0.34245121687395996, 0.6368074266906312], [-0.42926769321265346, -0.13491148339598216], [0.2751228424011849, 0.5694790522178561], [0.3616268963324605, 0.6559831061491317]]","[-0.21451578910893557, 0.36022913410337287, -0.009392587254177145, 0.3833164219047698]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0110566999999
high_noise,143,evaluated,2.45296841514,False,"[-0.445061503187935, 0.47258741939338633, -0.1939368287468769, 0.4749586735002935, 0.6667461022347669]","[-0.4671331377805862, 0.48962932178229557, -0.2820895883043178, 0.4223009473095205, 0.5088050012407961]","[[-0.6143112426889218, -0.3199550328722506], [0.34245121687395996, 0.6368074266906312], [-0.42926769321265346, -0.13491148339598216], [0.2751228424011849, 0.5694790522178561], [0.3616268963324605, 0.6559831061491317]]","[-0.2283214084732272, 0.37957917765671484, 0.18197953660708352, 0.444647412594062]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00779719999991
bounded_nuisance_bias,143,evaluated,2.45296841514,False,"[-0.445061503187935, 0.47258741939338633, -0.1939368287468769, 0.4749586735002935, 0.6667461022347669]","[-0.4671331377805862, 0.48962932178229557, -0.2820895883043178, 0.4223009473095205, 0.5088050012407961]","[[-0.6143112426889218, -0.3199550328722506], [0.34245121687395996, 0.6368074266906312], [-0.42926769321265346, -0.13491148339598216], [0.2751228424011849, 0.5694790522178561], [0.3616268963324605, 0.6559831061491317]]","[-0.2745157891089356, 0.42022913410337287, -0.06939258725417714, 0.4433164219047698]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00961140000004
nominal,144,evaluated,2.50128899461,True,"[0.7058193328602111, 0.15115850133504716, -0.14119876399001063, -0.5689713280639487, 0.1717079041420323]","[0.6156656503386627, 0.13719191005185166, -0.1298131960862553, -0.6438922415742537, 0.19798253533569954]","[[0.46558831066211703, 0.7657429900152084], [-0.01288542962469405, 0.2872692497283974], [-0.279890535762801, 0.020264143590290412], [-0.7939695812507994, -0.49381490189770805], [0.047905195659153826, 0.3480598750122452]]","[0.5843948134309946, 0.09370720670579093, -0.048595288288621065, -0.29179519645034935]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0458409
extrapolation,144,evaluated,2.50128899461,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7901536825215484, -0.5639665912831954, -0.38861443209624463, -0.3249209135103051, 0.9762746311936672]","[[-0.9402310221980941, -0.6400763428450027], [-0.7140439309597411, -0.4138892516066497], [-0.5386917717727904, -0.23853709241969892], [-0.47499825318685085, -0.1748435738337594], [0.8261972915171215, 1.0]]","[-0.26155106547690204, -0.24309256185299458, -0.1618571571803067, -0.17878091125963624]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0142658000002
proxy_shift,144,evaluated,2.50128899461,False,"[0.7058193328602111, 0.15115850133504716, -0.14119876399001063, -0.5689713280639487, 0.1717079041420323]","[0.43535828529556575, 0.1092587274854607, -0.1070420602787446, -0.793734068594864, 0.250531797723034]","[[0.28528094561902007, 0.5854356249721114], [-0.04081861219108501, 0.2593360671620064], [-0.2571193999552903, 0.04303527939780111], [-0.9438114082714096, -0.6436567289183183], [0.10045445804648831, 0.4006091373995797]]","[0.5843948134309946, 0.09370720670579093, -0.048595288288621065, -0.29179519645034935]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0498075
understated_LH,144,evaluated,2.50128899461,True,"[0.7058193328602111, 0.15115850133504716, -0.14119876399001063, -0.5689713280639487, 0.1717079041420323]","[0.6156656503386627, 0.13719191005185166, -0.1298131960862553, -0.6438922415742537, 0.19798253533569954]","[[0.46558831066211703, 0.7657429900152084], [-0.01288542962469405, 0.2872692497283974], [-0.279890535762801, 0.020264143590290412], [-0.7939695812507994, -0.49381490189770805], [0.047905195659153826, 0.3480598750122452]]","[0.5843948134309946, 0.09370720670579093, -0.048595288288621065, -0.29179519645034935]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.016036
high_noise,144,evaluated,2.50128899461,True,"[0.7058193328602111, 0.15115850133504716, -0.14119876399001063, -0.5689713280639487, 0.1717079041420323]","[0.6156656503386627, 0.13719191005185166, -0.1298131960862553, -0.6438922415742537, 0.19798253533569954]","[[0.46558831066211703, 0.7657429900152084], [-0.01288542962469405, 0.2872692497283974], [-0.279890535762801, 0.020264143590290412], [-0.7939695812507994, -0.49381490189770805], [0.047905195659153826, 0.3480598750122452]]","[0.6072926824771906, 0.08602208299980171, 0.011690397350765519, -0.3868570189696219]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0632642999999
bounded_nuisance_bias,144,evaluated,2.50128899461,True,"[0.7058193328602111, 0.15115850133504716, -0.14119876399001063, -0.5689713280639487, 0.1717079041420323]","[0.6156656503386627, 0.13719191005185166, -0.1298131960862553, -0.6438922415742537, 0.19798253533569954]","[[0.46558831066211703, 0.7657429900152084], [-0.01288542962469405, 0.2872692497283974], [-0.279890535762801, 0.020264143590290412], [-0.7939695812507994, -0.49381490189770805], [0.047905195659153826, 0.3480598750122452]]","[0.5243948134309946, 0.1537072067057909, -0.10859528828862106, -0.23179519645034935]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0459331000002
nominal,145,evaluated,2.32635282882,False,"[0.06038849002286817, -0.5872698190909041, 0.6585309765477207, -0.6721791052868078, -0.038919062989316466]","[0.09417646562372142, -0.575721753696436, 0.7148666907032727, -0.8186079733700331, -0.02079282476262906]","[[-0.045404704105342614, 0.23375763535278546], [-0.7153029234255, -0.43614058396737193], [0.5752855209742087, 0.8544478604323367], [-0.9581891430990972, -0.679026803640969], [-0.1603739944916931, 0.11878834496643498]]","[0.06822299574186658, -0.2907890861477027, 0.6395228545512751, -0.2971552259535096]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0378642000001
extrapolation,145,evaluated,2.32635282882,False,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6662120243991467, -0.5384519346055318, -0.343664285844448, -0.3964288680832253, 0.9681262382266873]","[[-0.8057931941282108, -0.5266308546700826], [-0.6780331043345957, -0.3988707648764677], [-0.48324545557351206, -0.204083116115384], [-0.5360100378122894, -0.25684769835416127], [0.8285450684976232, 1.0]]","[-0.24210412919002697, -0.28114294681767915, -0.07769464549922572, -0.160645187656677]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0104093
proxy_shift,145,evaluated,2.32635282882,False,"[0.06038849002286817, -0.5872698190909041, 0.6585309765477207, -0.6721791052868078, -0.038919062989316466]","[0.1617524168254279, -0.5526256229074996, 0.8275381190143766, -1.0, 0.015459651690745757]","[[0.022171247096363866, 0.30133358655449194], [-0.6922067926365636, -0.4130444531784356], [0.6879569492853126, 0.9671192887434406], [-1.0, -0.8604188302709359], [-0.12412151803831828, 0.1550408214198098]]","[0.06822299574186658, -0.2907890861477027, 0.6395228545512751, -0.2971552259535096]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0469501
understated_LH,145,evaluated,2.32635282882,False,"[0.06038849002286817, -0.5872698190909041, 0.6585309765477207, -0.6721791052868078, -0.038919062989316466]","[0.09417646562372142, -0.575721753696436, 0.7148666907032727, -0.8186079733700331, -0.02079282476262906]","[[-0.045404704105342614, 0.23375763535278546], [-0.7153029234255, -0.43614058396737193], [0.5752855209742087, 0.8544478604323367], [-0.9581891430990972, -0.679026803640969], [-0.1603739944916931, 0.11878834496643498]]","[0.06822299574186658, -0.2907890861477027, 0.6395228545512751, -0.2971552259535096]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0719222999999
high_noise,145,evaluated,2.32635282882,False,"[0.06038849002286817, -0.5872698190909041, 0.6585309765477207, -0.6721791052868078, -0.038919062989316466]","[0.09417646562372142, -0.575721753696436, 0.7148666907032727, -0.8186079733700331, -0.02079282476262906]","[[-0.045404704105342614, 0.23375763535278546], [-0.7153029234255, -0.43614058396737193], [0.5752855209742087, 0.8544478604323367], [-0.9581891430990972, -0.679026803640969], [-0.1603739944916931, 0.11878834496643498]]","[0.13001473736181268, -0.37457497978306104, 0.8681335635528236, -0.35594560126686364]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0525123999998
bounded_nuisance_bias,145,evaluated,2.32635282882,False,"[0.06038849002286817, -0.5872698190909041, 0.6585309765477207, -0.6721791052868078, -0.038919062989316466]","[0.09417646562372142, -0.575721753696436, 0.7148666907032727, -0.8186079733700331, -0.02079282476262906]","[[-0.045404704105342614, 0.23375763535278546], [-0.7153029234255, -0.43614058396737193], [0.5752855209742087, 0.8544478604323367], [-0.9581891430990972, -0.679026803640969], [-0.1603739944916931, 0.11878834496643498]]","[0.008222995741866579, -0.23078908614770272, 0.5795228545512752, -0.23715522595350963]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.039667
nominal,146,evaluated,2.54630580314,True,"[0.21654231549015224, -0.7070003033645966, -0.5860430540394854, -0.2205545185112726, -0.04795757603062323]","[0.08979655504455247, -0.7151249339537127, -0.5475137016504393, -0.3607987091593641, -0.04077661235829373]","[[-0.0629817931441026, 0.24257490323320754], [-0.8679032821423678, -0.5623465857650576], [-0.7002920498390944, -0.39473535346178423], [-0.5135770573480192, -0.208020360970709], [-0.19355496054694882, 0.11200173583036134]]","[0.12535026905958432, -0.24094943521057888, -0.2921969321760369, -0.09811900733765372]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0460284999999
extrapolation,146,evaluated,2.54630580314,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.8267457604455997, -0.558124630589116, -0.3614706476109538, -0.39024419064809146, 0.9571809636723294]","[[-0.9795241086342548, -0.6739674122569446], [-0.7109029787777711, -0.4053462824004609], [-0.5142489957996089, -0.20869229942229875], [-0.5430225388367466, -0.2374658424594364], [0.8044026154836743, 1.0]]","[-0.29164229255385804, -0.20595408187911035, -0.23560503810872382, -0.11162958492161194]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0126133000001
proxy_shift,146,evaluated,2.54630580314,False,"[0.21654231549015224, -0.7070003033645966, -0.5860430540394854, -0.2205545185112726, -0.04795757603062323]","[-0.16369496584664706, -0.7313741951319447, -0.47045499687234704, -0.641287090455547, -0.026414685013634732]","[[-0.3164733140353021, -0.010916617657991984], [-0.8841525433205998, -0.5785958469432896], [-0.6232333450610021, -0.31767664868369194], [-0.7940654386442021, -0.4885087422668919], [-0.1791930332022898, 0.12636366317502035]]","[0.12535026905958432, -0.24094943521057888, -0.2921969321760369, -0.09811900733765372]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00563260000013
understated_LH,146,evaluated,2.54630580314,True,"[0.21654231549015224, -0.7070003033645966, -0.5860430540394854, -0.2205545185112726, -0.04795757603062323]","[0.08979655504455247, -0.7151249339537127, -0.5475137016504393, -0.3607987091593641, -0.04077661235829373]","[[-0.0629817931441026, 0.24257490323320754], [-0.8679032821423678, -0.5623465857650576], [-0.7002920498390944, -0.39473535346178423], [-0.5135770573480192, -0.208020360970709], [-0.19355496054694882, 0.11200173583036134]]","[0.12535026905958432, -0.24094943521057888, -0.2921969321760369, -0.09811900733765372]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0597250000001
high_noise,146,evaluated,2.54630580314,True,"[0.21654231549015224, -0.7070003033645966, -0.5860430540394854, -0.2205545185112726, -0.04795757603062323]","[0.08979655504455247, -0.7151249339537127, -0.5475137016504393, -0.3607987091593641, -0.04077661235829373]","[[-0.0629817931441026, 0.24257490323320754], [-0.8679032821423678, -0.5623465857650576], [-0.7002920498390944, -0.39473535346178423], [-0.5135770573480192, -0.208020360970709], [-0.19355496054694882, 0.11200173583036134]]","[0.08806568395186831, -0.1743575989687996, -0.3794070083934846, -0.0588781771808776]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0449593999999
bounded_nuisance_bias,146,evaluated,2.54630580314,True,"[0.21654231549015224, -0.7070003033645966, -0.5860430540394854, -0.2205545185112726, -0.04795757603062323]","[0.08979655504455247, -0.7151249339537127, -0.5475137016504393, -0.3607987091593641, -0.04077661235829373]","[[-0.0629817931441026, 0.24257490323320754], [-0.8679032821423678, -0.5623465857650576], [-0.7002920498390944, -0.39473535346178423], [-0.5135770573480192, -0.208020360970709], [-0.19355496054694882, 0.11200173583036134]]","[0.06535026905958433, -0.18094943521057888, -0.3521969321760369, -0.03811900733765372]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0422235000001
