replicate,mode,target,truth,status,lower,upper,width,covered,best_singleton_width,closed_form_error
107,noisy_sources,0.293287828668,0.201778022334,optimal,0.0213554951073,0.635468273618,0.614112778511,True,0.614112778511,
108,exact_sources,0.724306959563,0.591970347239,optimal,0.576371822104,0.600766115383,0.0243942932791,True,0.117231475702,0
108,noisy_sources,0.724306959563,0.591970347239,optimal,0.424302065992,0.796086837332,0.37178477134,True,0.507861147074,
109,exact_sources,-0.0601776469748,-0.0350201834263,optimal,-0.271201448425,0.0665795465132,0.337780994938,True,0.358127743114,0
109,noisy_sources,-0.0601776469748,-0.0350201834263,optimal,-0.471557433466,0.27719998102,0.748757414486,True,0.748757414486,
110,exact_sources,0.928606490021,0.815856898005,optimal,0.593717303994,0.822673658506,0.228956354512,True,0.228956354512,0
110,noisy_sources,0.928606490021,0.815856898005,optimal,0.160543167363,0.780129193247,0.619586025884,False,0.619586025884,
111,exact_sources,-0.990457499666,-0.299972682206,optimal,-0.423126116117,-0.168872284349,0.254253831769,True,0.254253831769,0
111,noisy_sources,-0.990457499666,-0.299972682206,optimal,-0.586394592494,0.0584889106471,0.644883503141,True,0.644883503141,
112,exact_sources,-0.455219262185,-0.210964184312,optimal,-0.581056996885,0.26718806591,0.848245062795,True,1.13113710909,0
112,noisy_sources,-0.455219262185,-0.210964184312,optimal,-0.77524027888,0.578793675479,1.35403395436,True,1.52176678046,
113,exact_sources,0.583488864959,0.452231095635,optimal,0.42646570408,0.664260964275,0.237795260194,True,0.289304213057,0
113,noisy_sources,0.583488864959,0.452231095635,optimal,0.201999612399,0.860403081891,0.658403469492,True,0.679933884429,
114,exact_sources,-0.0760912143777,-0.043917766755,optimal,-0.150529349887,0.104874488395,0.255403838282,True,0.432507740303,0
114,noisy_sources,-0.0760912143777,-0.043917766755,optimal,-0.302249009587,0.114403692201,0.416652701789,True,0.823137411675,
115,exact_sources,0.846225494717,0.722564573203,optimal,0.594161279674,0.72867833616,0.134517056486,True,0.134517056486,0
115,noisy_sources,0.846225494717,0.722564573203,optimal,0.428189190764,0.953335918622,0.525146727858,True,0.525146727858,
116,exact_sources,-0.20791167919,-0.111778827611,optimal,-0.300795847597,0.0389363781841,0.339732225781,True,0.462241439895,0
116,noisy_sources,-0.20791167919,-0.111778827611,optimal,-0.461131085658,0.265209711974,0.726340797632,True,0.852871111268,
117,exact_sources,-0.294920843334,-0.150859014851,optimal,-0.402483144353,0.0909594993509,0.493442643704,True,0.673908979038,0
117,noisy_sources,-0.294920843334,-0.150859014851,optimal,-0.675385696145,0.242342359187,0.917728055332,True,1.06453865041,
118,exact_sources,0.271627527189,0.185110970371,optimal,0.155611830852,0.191761670455,0.0361498396026,True,0.0361498396026,0
118,noisy_sources,0.271627527189,0.185110970371,optimal,-0.0254776111508,0.401301899824,0.426779510975,True,0.426779510975,
119,exact_sources,-0.916772649141,-0.297921962421,optimal,-0.324615482867,-0.273095875734,0.0515196071325,True,0.0515196071325,0
119,noisy_sources,-0.916772649141,-0.297921962421,optimal,-0.637492133315,-0.19534285481,0.442149278505,True,0.442149278505,
120,exact_sources,-0.822108636495,-0.290506398837,optimal,-0.321127501252,-0.253381507897,0.0677459933545,True,0.0677459933545,0
120,noisy_sources,-0.822108636495,-0.290506398837,optimal,-0.415740519823,0.0426351449038,0.458375664727,True,0.458375664727,
121,exact_sources,0.370704592534,0.263649323998,optimal,0.263235533686,0.263726591695,0.000491058008708,True,0.000491058008708,0
121,noisy_sources,0.370704592534,0.263649323998,optimal,-0.0303389222694,0.360781807112,0.391120729381,True,0.391120729381,
122,exact_sources,-0.740819679066,-0.279847668372,optimal,-0.284060050194,-0.274369735655,0.00969031453854,True,0.00969031453854,0
122,noisy_sources,-0.740819679066,-0.279847668372,optimal,-0.455586878133,-0.0552668922217,0.400319985911,True,0.400319985911,
123,exact_sources,-0.731651497039,-0.278396724288,optimal,-0.288878163162,-0.264595796969,0.0242823661938,True,0.0242823661938,0
123,noisy_sources,-0.731651497039,-0.278396724288,optimal,-0.408379459363,0.00653257820345,0.414912037566,True,0.414912037566,
124,exact_sources,-0.268192371932,-0.13933727865,optimal,-0.316660478286,0.159224900099,0.475885378384,True,0.62306856982,0
124,noisy_sources,-0.268192371932,-0.13933727865,optimal,-0.451724728544,0.144424756577,0.596149485121,True,1.01369824119,
125,exact_sources,0.415438766979,0.30104007092,optimal,0.231068748008,0.371165882487,0.140097134479,True,0.417678140148,0
125,noisy_sources,0.415438766979,0.30104007092,optimal,0.0080655532989,0.575806679291,0.567741125992,True,0.808307811521,
126,exact_sources,0.19779176477,0.130411533525,optimal,-0.99625280938,0.573607680407,1.56986048979,True,1.56986048979,0
126,noisy_sources,0.19779176477,0.130411533525,optimal,-1.23120552685,0.729284634314,1.96049016116,True,1.96049016116,
127,exact_sources,0.65627155462,0.522970638793,optimal,0.511070792457,0.663663056911,0.152592264455,True,0.152592264455,0
127,noisy_sources,0.65627155462,0.522970638793,optimal,0.440653266762,0.98387520259,0.543221935827,True,0.543221935827,
128,exact_sources,0.559755398012,0.429851070489,optimal,0.39525914942,0.43421797525,0.0389588258295,True,0.0389588258295,0
128,noisy_sources,0.559755398012,0.429851070489,optimal,0.264478613732,0.62215147181,0.357672858078,True,0.429588497202,
129,exact_sources,0.130274364374,0.0832560416282,optimal,0.0563991551989,0.183806389801,0.127407234603,True,0.127407234603,0
129,noisy_sources,0.130274364374,0.0832560416282,optimal,-0.146580463784,0.371456442191,0.518036905975,True,0.518036905975,
