scenario,replicate,method,truth,estimate,error,radius,width,covered,joint_set_covered,weights,outer_status,outer_lower,outer_upper,outer_covered,assumption_valid,solver_successes,solver_failures,global_optimum_certified,fallback
bounded_nuisance_bias,1,archive_mean,-0.269853061577,0.0158617724104,0.285714833987,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.00220628649,0.356288924089,True,True,,,,
nominal,2,robust_Rinf,-0.105384928681,-0.0104669963023,0.0949179323791,0.604666931043,1.20933386209,True,True,"[0.28959910174501063, 0.0, 0.7104008982549894, 9.012597711708236e-18]",nonempty,-0.718953847145,0.699693556276,True,True,3,0,False,False
nominal,2,design_R2,-0.105384928681,-0.0104669963023,0.0949179323791,0.544237583472,1.08847516694,True,True,"[0.28959910174501063, 0.0, 0.7104008982549894, 9.012597711708236e-18]",nonempty,-0.718953847145,0.699693556276,True,True,3,0,False,False
nominal,2,adaptive_Rinf,-0.105384928681,-0.292212116997,0.186827188315,1.04106355044,2.08212710088,True,True,"[0.6659337700987283, 0.24100297791590905, 4.3106264450369504e-05, 0.0930201457209123]",nonempty,-0.718953847145,0.699693556276,True,True,,,,
nominal,2,adaptive_R2_invalid,-0.105384928681,-0.292212116997,0.186827188315,0.966597328095,1.93319465619,True,True,"[0.6659337700987283, 0.24100297791590905, 4.3106264450369504e-05, 0.0930201457209123]",nonempty,-0.718953847145,0.699693556276,True,True,,,,
nominal,2,singleton_U,-0.105384928681,-0.010466996299,0.0949179323823,0.239912953949,0.479825907897,True,True,"[0.2895991017370778, 0.0, 0.7104008982629222, 3.809263539891932e-17]",nonempty,-0.718953847145,0.699693556276,True,True,3,0,False,False
nominal,2,no_curvature,-0.105384928681,-0.010466996659,0.0949179320224,0.582724800779,1.16544960156,True,True,"[0.28959910261781807, 2.0801544675492122e-17, 0.710400897382182, 2.0112486898367063e-18]",nonempty,-0.718953847145,0.699693556276,True,True,3,0,False,False
nominal,2,ridge_source_only,-0.105384928681,-0.0504152321542,0.0549696965272,,,,True,,nonempty,-0.718953847145,0.699693556276,True,True,,,,
nominal,2,archive_mean,-0.105384928681,-0.183697970063,0.0783130413817,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-0.718953847145,0.699693556276,True,True,,,,
extrapolation,2,robust_Rinf,0.84075,-0.121473815981,0.962223815981,2.05367351725,4.1073470345,True,True,"[0.0, 0.0, 3.6082248300317573e-16, 0.9999999999999996]",nonempty,-2.17514733323,1.93219970127,True,True,3,0,False,False
extrapolation,2,design_R2,0.84075,-0.121473815981,0.962223815981,2.00669771825,4.0133954365,True,True,"[0.0, 0.0, 3.6082248300317573e-16, 0.9999999999999996]",nonempty,-2.17514733323,1.93219970127,True,True,3,0,False,False
extrapolation,2,adaptive_Rinf,0.84075,-0.29663630111,1.13738630111,2.28237548499,4.56475096998,True,True,"[0.8184152499382275, 0.18145441169341298, 3.25846613716188e-05, 9.775370698791444e-05]",nonempty,-2.17514733323,1.93219970127,True,True,,,,
extrapolation,2,adaptive_R2_invalid,0.84075,-0.29663630111,1.13738630111,2.23705982705,4.4741196541,True,True,"[0.8184152499382275, 0.18145441169341298, 3.25846613716188e-05, 9.775370698791444e-05]",nonempty,-2.17514733323,1.93219970127,True,True,,,,
extrapolation,2,singleton_U,0.84075,-0.121473815981,0.962223815981,1.78950162,3.57900324,True,True,"[0.0, 0.0, 0.0, 1.0]",nonempty,-2.17514733323,1.93219970127,True,True,3,0,False,False
extrapolation,2,no_curvature,0.84075,-0.121473815981,0.962223815981,2.05367351725,4.1073470345,True,True,"[0.0, 0.0, 0.0, 1.0]",nonempty,-2.17514733323,1.93219970127,True,True,3,0,False,False
