replicate,method,trial,selected,information,information_ratio,target_radius,target_radius_ratio,condition,all_subset_kappa,target_radius_bound,greedy_seconds,exhaustive_seconds
0,random,131,"(2, 7, 8, 10)",5.1496327653,0.885633152184,1.07691557395,1.12365963729,31.5569688972,85.2192507604,9.61447844442,,
0,random,132,"(0, 2, 9, 11)",4.70225967591,0.808693988285,1.08087904515,1.12779514495,32.2833365495,85.2192507604,10.3587576862,,
0,random,133,"(0, 1, 4, 9)",5.06077497745,0.870351401751,1.27300714745,1.32826266438,37.4117521953,85.2192507604,9.75792489816,,
0,random,134,"(0, 2, 3, 6)",4.09162871532,0.703677757595,1.01812356258,1.06231572903,39.6447293308,85.2192507604,11.4684999461,,
0,random,135,"(3, 5, 7, 10)",3.18940766432,0.548513902271,1.98788837091,2.0741736677,20.029281518,85.2192507604,13.3294292606,,
0,random,136,"(4, 5, 7, 11)",2.73396529394,0.470186984507,1.93831795846,2.02245162651,13.7281476532,85.2192507604,14.3806187351,,
0,random,137,"(0, 6, 7, 8)",3.77709455109,0.649584214222,1.76163856814,1.83810337819,64.7069120985,85.2192507604,12.0857431114,,
0,random,138,"(2, 4, 8, 9)",5.03723495873,0.866302992489,0.958400158033,1,27.3703212037,85.2192507604,9.7962837187,,
0,random,139,"(2, 4, 5, 10)",4.60059081692,0.791208991554,1.32337005302,1.38081159725,29.6065725683,85.2192507604,10.5357804381,,
0,random,140,"(4, 7, 10, 11)",3.18437830021,0.547648952905,1.95098267032,2.03566605657,30.4091543136,85.2192507604,13.3406070369,,
0,random,141,"(1, 2, 5, 9)",4.51826714205,0.777050976993,1.18788179742,1.23944240563,31.0136490846,85.2192507604,10.6813340576,,
0,random,142,"(4, 6, 7, 10)",3.36851677176,0.579317062542,1.99406270451,2.08061600136,31.0898070997,85.2192507604,12.9374059212,,
0,random,143,"(4, 5, 6, 8)",3.68670714474,0.634039400203,2.22358234343,2.3200980559,33.8894839231,85.2192507604,12.2691878959,,
0,random,144,"(4, 5, 7, 9)",3.52134236605,0.605599987747,1.10911439005,1.15725605923,17.3751989716,85.2192507604,12.6120394144,,
0,random,145,"(0, 3, 4, 6)",3.67476489519,0.631985573728,2.37822718801,2.48145533792,43.0500093538,85.2192507604,12.2936324987,,
0,random,146,"(0, 2, 3, 10)",5.14121679596,0.884185774907,1.06719534375,1.1135174956,32.8964062643,85.2192507604,9.62797376619,,
0,random,147,"(1, 3, 6, 10)",3.45093390453,0.59349114998,2.18115352157,2.27582758964,19.291825767,85.2192507604,12.7609102351,,
0,random,148,"(2, 3, 4, 11)",3.46868869088,0.596544615754,1.52469598994,1.59087618795,24.3662372513,85.2192507604,12.7232048444,,
0,random,149,"(2, 3, 4, 7)",3.77140057258,0.648604964562,1.29473345637,1.35093201469,25.4979260586,85.2192507604,12.0972178822,,
0,random,150,"(1, 3, 6, 11)",2.22417380266,0.382513112223,2.17644509284,2.27091478919,21.1594250117,85.2192507604,15.6558809725,,
0,random,151,"(2, 6, 9, 11)",3.43499325638,0.590749679449,1.50824641926,1.57371261536,28.5524260235,85.2192507604,12.7948581745,,
0,random,152,"(0, 1, 3, 4)",4.4638014859,0.767683980754,2.14536579713,2.23848648098,33.5810818379,85.2192507604,10.7787364572,,
0,random,153,"(4, 7, 9, 10)",4.11368707541,0.707471351403,1.2377968819,1.2915240795,27.4065533388,85.2192507604,11.4264146376,,
0,random,154,"(2, 3, 6, 11)",2.67552722413,0.4601368131,1.48530040022,1.5497706128,29.7899550544,85.2192507604,14.5213656376,,
0,random,155,"(5, 6, 8, 11)",3.07673755708,0.529136912342,2.1765881232,2.27106402786,30.7628861301,85.2192507604,13.5820988995,,
0,random,156,"(1, 7, 10, 11)",3.54487564381,0.6096472377,1.79940703415,1.87751120351,21.082857667,85.2192507604,12.5626691935,,
0,random,157,"(0, 1, 3, 4)",4.4638014859,0.767683980754,2.14536579713,2.23848648098,33.5810818379,85.2192507604,10.7787364572,,
0,random,158,"(3, 4, 10, 11)",2.99325032643,0.514778789614,2.39690012889,2.5009387872,29.4861347869,85.2192507604,13.7724085013,,
0,random,159,"(3, 5, 6, 7)",2.20672384712,0.37951207121,1.9895736068,2.07593205211,9.35109761818,85.2192507604,15.7014796528,,
0,random,160,"(0, 5, 6, 11)",3.1370425534,0.53950815752,2.30395856284,2.40396304563,39.0100422121,85.2192507604,13.4462712295,,
0,random,161,"(3, 6, 10, 11)",2.59466433597,0.446230024442,2.41683182941,2.52173563324,23.3227086416,85.2192507604,14.7183969597,,
0,random,162,"(1, 5, 8, 11)",3.70261961741,0.636776025118,2.03336558575,2.12162484397,29.4661768062,85.2192507604,12.2366921527,,
0,random,163,"(1, 3, 5, 8)",3.95177148594,0.679625130047,2.02963813244,2.11773559867,29.3670367593,85.2192507604,11.7389653498,,
0,random,164,"(1, 3, 4, 5)",3.56000335155,0.612248898847,2.06946922286,2.15929557765,13.9788660468,85.2192507604,12.531035025,,
0,random,165,"(0, 8, 10, 11)",4.48905873484,0.772027719038,2.2951038606,2.39472400058,62.7372884354,85.2192507604,10.733458286,,
0,random,166,"(1, 3, 6, 10)",3.45093390453,0.59349114998,2.18115352157,2.27582758964,19.291825767,85.2192507604,12.7609102351,,
0,random,167,"(0, 3, 6, 9)",4.05294121686,0.697024286799,1.77807750108,1.85525585131,28.3794489296,85.2192507604,11.5426867933,,
0,random,168,"(2, 4, 8, 9)",5.03723495873,0.866302992489,0.958400158033,1,27.3703212037,85.2192507604,9.7962837187,,
0,random,169,"(1, 3, 4, 7)",3.40611071882,0.585782464514,1.72821089043,1.80322475528,15.3028860983,85.2192507604,12.8565979841,,
0,random,170,"(2, 3, 9, 11)",3.50597619377,0.602957315499,1.55815759719,1.62579021313,29.2771805924,85.2192507604,12.6443806051,,
0,random,171,"(1, 4, 8, 11)",3.98951585648,0.686116401829,2.07045512601,2.16032427442,33.9929347352,85.2192507604,11.6653504951,,
