method,threshold,n_released,release_rate,reference_mae,reference_inclusion,mean_width
random,0.23,48,0.842105263158,0.0779412363267,0.979166666667,0.379390290521
random,0.235,51,0.894736842105,0.0790793078282,0.980392156863,0.384309811766
random,0.24,51,0.894736842105,0.0790793078282,0.980392156863,0.384309811766
random,0.245,51,0.894736842105,0.0790793078282,0.980392156863,0.384309811766
random,0.25,52,0.912280701754,0.0788844651523,0.980769230769,0.386379753775
random,0.255,52,0.912280701754,0.0788844651523,0.980769230769,0.386379753775
random,0.26,52,0.912280701754,0.0788844651523,0.980769230769,0.386379753775
random,0.265,53,0.929824561404,0.0781516467538,0.981132075472,0.388931925123
random,0.27,53,0.929824561404,0.0781516467538,0.981132075472,0.388931925123
random,0.275,53,0.929824561404,0.0781516467538,0.981132075472,0.388931925123
random,0.28,53,0.929824561404,0.0781516467538,0.981132075472,0.388931925123
random,0.285,53,0.929824561404,0.0781516467538,0.981132075472,0.388931925123
random,0.29,53,0.929824561404,0.0781516467538,0.981132075472,0.388931925123
random,0.295,54,0.947368421053,0.0783752401675,0.981481481481,0.39251160998
random,0.3,54,0.947368421053,0.0783752401675,0.981481481481,0.39251160998
random,0.305,54,0.947368421053,0.0783752401675,0.981481481481,0.39251160998
random,0.31,54,0.947368421053,0.0783752401675,0.981481481481,0.39251160998
random,0.315,54,0.947368421053,0.0783752401675,0.981481481481,0.39251160998
random,0.32,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.325,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.33,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.335,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.34,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.345,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.35,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.355,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.36,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.365,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.37,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.375,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.38,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.385,55,0.964912280702,0.078630368193,0.981818181818,0.396928523356
random,0.39,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.395,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.4,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.405,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.41,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.415,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.42,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.425,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
random,0.43,56,0.982456140351,0.0812969211779,0.982142857143,0.403727965403
