k,replicate,test_scale,method,radius,joint_covered,marginal_fraction
4,58,2,gaussian_union,2.57582930355,True,1
4,59,1,joint_max,2.49072192312,True,1
4,59,1,marginal_only_invalid,2.0238914065,True,1
4,59,1,gaussian_union,2.57582930355,True,1
4,59,2,joint_max,2.49072192312,False,0.8
4,59,2,marginal_only_invalid,2.0238914065,False,0.8
4,59,2,gaussian_union,2.57582930355,False,0.8
4,60,1,joint_max,2.58297086726,True,1
4,60,1,marginal_only_invalid,1.95815207935,False,0.8
4,60,1,gaussian_union,2.57582930355,True,1
4,60,2,joint_max,2.58297086726,False,0.6
4,60,2,marginal_only_invalid,1.95815207935,False,0.4
4,60,2,gaussian_union,2.57582930355,False,0.6
4,61,1,joint_max,2.48590148919,True,1
4,61,1,marginal_only_invalid,2.05301620387,True,1
4,61,1,gaussian_union,2.57582930355,True,1
4,61,2,joint_max,2.48590148919,False,0.6
4,61,2,marginal_only_invalid,2.05301620387,False,0.4
4,61,2,gaussian_union,2.57582930355,False,0.6
4,62,1,joint_max,2.51235692581,True,1
4,62,1,marginal_only_invalid,1.93079580922,True,1
4,62,1,gaussian_union,2.57582930355,True,1
4,62,2,joint_max,2.51235692581,False,0.8
4,62,2,marginal_only_invalid,1.93079580922,False,0.6
4,62,2,gaussian_union,2.57582930355,False,0.8
4,63,1,joint_max,2.50403086734,True,1
4,63,1,marginal_only_invalid,1.95197944685,True,1
4,63,1,gaussian_union,2.57582930355,True,1
4,63,2,joint_max,2.50403086734,True,1
4,63,2,marginal_only_invalid,1.95197944685,True,1
4,63,2,gaussian_union,2.57582930355,True,1
4,64,1,joint_max,2.75271064462,True,1
4,64,1,marginal_only_invalid,1.8544459833,True,1
4,64,1,gaussian_union,2.57582930355,True,1
4,64,2,joint_max,2.75271064462,True,1
4,64,2,marginal_only_invalid,1.8544459833,False,0.8
4,64,2,gaussian_union,2.57582930355,False,0.8
4,65,1,joint_max,2.55498226369,True,1
4,65,1,marginal_only_invalid,1.83181775721,True,1
4,65,1,gaussian_union,2.57582930355,True,1
4,65,2,joint_max,2.55498226369,False,0.8
4,65,2,marginal_only_invalid,1.83181775721,False,0.6
4,65,2,gaussian_union,2.57582930355,False,0.8
4,66,1,joint_max,2.56448343451,True,1
4,66,1,marginal_only_invalid,1.84027572399,True,1
4,66,1,gaussian_union,2.57582930355,True,1
4,66,2,joint_max,2.56448343451,True,1
4,66,2,marginal_only_invalid,1.84027572399,False,0.6
