surface,scenario,replicate,method,stage,candidate,planned_radius,solver_failures
linear,bridgeable,8,r2_targeted,1,9,0.197124430636108,0
linear,bridgeable,8,r2_targeted,2,4,0.191635155483397,0
linear,bridgeable,8,r2_targeted,2,5,0.18510166970361,0
linear,bridgeable,8,r2_targeted,2,6,0.176995610243327,0
linear,bridgeable,8,r2_targeted,2,7,0.169137571765576,0
linear,bridgeable,8,r2_targeted,2,8,0.163945064689112,0
linear,bridgeable,8,r2_targeted,3,4,0.16105694768272,0
linear,bridgeable,8,r2_targeted,3,5,0.158127722221275,0
linear,bridgeable,8,r2_targeted,3,6,0.15413036851095,0
linear,bridgeable,8,r2_targeted,3,7,0.150120496183087,0
linear,bridgeable,8,rinf_targeted,1,4,0.557221555024127,0
linear,bridgeable,8,rinf_targeted,1,5,0.408645613839451,0
linear,bridgeable,8,rinf_targeted,1,6,0.326619405822862,0
linear,bridgeable,8,rinf_targeted,1,7,0.291627742428663,0
linear,bridgeable,8,rinf_targeted,1,8,0.27583764946527,0
linear,bridgeable,8,rinf_targeted,1,9,0.263990305732796,0
linear,bridgeable,8,rinf_targeted,2,4,0.26399030188499,0
linear,bridgeable,8,rinf_targeted,2,5,0.26399030446459,0
linear,bridgeable,8,rinf_targeted,2,6,0.263990303015783,0
linear,bridgeable,8,rinf_targeted,2,7,0.263990303987892,0
linear,bridgeable,8,rinf_targeted,2,8,0.26399030187196,0
linear,bridgeable,8,rinf_targeted,3,4,0.26399030187196,0
linear,bridgeable,8,rinf_targeted,3,5,0.263990299696994,0
linear,bridgeable,8,rinf_targeted,3,6,0.26399030187196,0
linear,bridgeable,8,rinf_targeted,3,7,0.26399030187196,0
linear,bridgeable,9,r2_targeted,1,4,0.496641238081739,0
linear,bridgeable,9,r2_targeted,1,5,0.363803828152071,0
linear,bridgeable,9,r2_targeted,1,6,0.291780642290317,0
linear,bridgeable,9,r2_targeted,1,7,0.243587058241209,0
linear,bridgeable,9,r2_targeted,1,8,0.206149870558352,0
linear,bridgeable,9,r2_targeted,1,9,0.196547362519994,0
linear,bridgeable,9,r2_targeted,2,4,0.192186584156659,0
linear,bridgeable,9,r2_targeted,2,5,0.183381358683901,0
linear,bridgeable,9,r2_targeted,2,6,0.177186794660964,0
linear,bridgeable,9,r2_targeted,2,7,0.170526733495351,0
linear,bridgeable,9,r2_targeted,2,8,0.161317932395599,0
linear,bridgeable,9,r2_targeted,3,4,0.159002066146632,0
linear,bridgeable,9,r2_targeted,3,5,0.155266132920861,0
linear,bridgeable,9,r2_targeted,3,6,0.152549439952378,0
linear,bridgeable,9,r2_targeted,3,7,0.149334263507923,0
linear,bridgeable,9,rinf_targeted,1,4,0.542991435603185,0
linear,bridgeable,9,rinf_targeted,1,5,0.381960161115321,0
linear,bridgeable,9,rinf_targeted,1,6,0.332479714126043,0
linear,bridgeable,9,rinf_targeted,1,7,0.298207214735009,0
linear,bridgeable,9,rinf_targeted,1,8,0.271168640048804,0
linear,bridgeable,9,rinf_targeted,1,9,0.259880023481924,0
linear,bridgeable,9,rinf_targeted,2,4,0.259880023481924,0
linear,bridgeable,9,rinf_targeted,2,5,0.259880023106352,0
linear,bridgeable,9,rinf_targeted,2,6,0.259880023481924,0
linear,bridgeable,9,rinf_targeted,2,7,0.259880022128628,0
linear,bridgeable,9,rinf_targeted,2,8,0.259880023481924,0
linear,bridgeable,9,rinf_targeted,3,4,0.259880019494266,0
linear,bridgeable,9,rinf_targeted,3,5,0.259880021910916,0
linear,bridgeable,9,rinf_targeted,3,6,0.259880017887995,0
linear,bridgeable,9,rinf_targeted,3,8,0.259880022128628,0
linear,bridgeable,10,r2_targeted,1,4,0.487798882018118,0
linear,bridgeable,10,r2_targeted,1,5,0.400792241247263,0
linear,bridgeable,10,r2_targeted,1,6,0.280099997709581,0
linear,bridgeable,10,r2_targeted,1,7,0.236357759385219,0
linear,bridgeable,10,r2_targeted,1,8,0.200989775257652,0
linear,bridgeable,10,r2_targeted,1,9,0.192532291556913,0
linear,bridgeable,10,r2_targeted,2,4,0.188521774588097,0
linear,bridgeable,10,r2_targeted,2,5,0.181824567050904,0
linear,bridgeable,10,r2_targeted,2,6,0.173120136622767,0
linear,bridgeable,10,r2_targeted,2,7,0.167169082842512,0
linear,bridgeable,10,r2_targeted,2,8,0.159242774451169,0
linear,bridgeable,10,r2_targeted,3,4,0.15707557601245,0
linear,bridgeable,10,r2_targeted,3,5,0.154164290399134,0
linear,bridgeable,10,r2_targeted,3,6,0.150191689266815,0
linear,bridgeable,10,r2_targeted,3,7,0.147267279951107,0
linear,bridgeable,10,rinf_targeted,1,4,0.543985367764677,0
linear,bridgeable,10,rinf_targeted,1,5,0.412134878031808,0
linear,bridgeable,10,rinf_targeted,1,6,0.323786574779187,0
linear,bridgeable,10,rinf_targeted,1,7,0.293344410277811,0
linear,bridgeable,10,rinf_targeted,1,8,0.266999983864572,0
linear,bridgeable,10,rinf_targeted,1,9,0.260130792818226,0
linear,bridgeable,10,rinf_targeted,2,4,0.260130790112193,0
linear,bridgeable,10,rinf_targeted,2,5,0.260130791433449,0
linear,bridgeable,10,rinf_targeted,2,6,0.26013079024892,0
linear,bridgeable,10,rinf_targeted,2,7,0.260130789644931,0
linear,bridgeable,10,rinf_targeted,2,8,0.260130784603048,0
linear,bridgeable,10,rinf_targeted,3,4,0.260130784603048,0
linear,bridgeable,10,rinf_targeted,3,5,0.260130784603048,0
linear,bridgeable,10,rinf_targeted,3,6,0.260130784603048,0
linear,bridgeable,10,rinf_targeted,3,7,0.260130784603048,0
linear,bridgeable,11,r2_targeted,1,4,0.507152616908033,0
linear,bridgeable,11,r2_targeted,1,5,0.3886220087311,0
linear,bridgeable,11,r2_targeted,1,6,0.309858864934289,0
linear,bridgeable,11,r2_targeted,1,7,0.238096565403338,0
linear,bridgeable,11,r2_targeted,1,8,0.208302928152558,0
linear,bridgeable,11,r2_targeted,1,9,0.197816906337676,0
linear,bridgeable,11,r2_targeted,2,4,0.192842708607275,0
linear,bridgeable,11,r2_targeted,2,5,0.184896870199091,0
linear,bridgeable,11,r2_targeted,2,6,0.178786304841265,0
linear,bridgeable,11,r2_targeted,2,7,0.169313568287663,0
linear,bridgeable,11,r2_targeted,2,8,0.162083682708155,0
