scenario,method,tolerance,budget,n_worlds,released,released_lower,released_upper,bad_release,bad_release_lower,bad_release_upper,path_covered,path_covered_lower,path_covered_upper,new_n,new_n_lower,new_n_upper,released_mae,released_bad_rate,mean_output_width,mean_refusal_width,mean_certificate_radius,n_released
unreachable,r2_nearest,0.3,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.48881674911,2.48881674911,1.30578220675,0
unreachable,r2_nearest,0.3,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.47998346796,2.47998346796,1.25141126408,0
unreachable,r2_nearest,0.3,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.4767862555,2.4767862555,1.23274271976,0
unreachable,r2_random,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_random,0.2,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.76096747875,2.76096747875,1.3971222788,0
unreachable,r2_random,0.2,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.66789059687,2.66789059687,1.35303168151,0
unreachable,r2_random,0.2,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.59772447217,2.59772447217,1.31473331139,0
unreachable,r2_random,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_random,0.3,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.76096747875,2.76096747875,1.3971222788,0
unreachable,r2_random,0.3,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.66789059687,2.66789059687,1.35303168151,0
unreachable,r2_random,0.3,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.59772447217,2.59772447217,1.31473331139,0
unreachable,r2_static,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.2,1,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.2,2,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.2,3,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.3,1,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.3,2,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_static,0.3,3,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_targeted,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_targeted,0.2,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.48881674911,2.48881674911,1.30578220675,0
unreachable,r2_targeted,0.2,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.47998346796,2.47998346796,1.25140999837,0
unreachable,r2_targeted,0.2,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.4767862555,2.4767862555,1.23274229066,0
unreachable,r2_targeted,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_targeted,0.3,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.48881674911,2.48881674911,1.30578220675,0
