surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,6,r2_nearest,0.2,3,6,96,0.102730748112825,-0.0061087250526263,0.108839473165451,0.102062072615966,
linear,bridgeable,6,r2_nearest,0.3,1,5,96,-0.133708072857523,-0.0129734970693691,-0.120734575788154,0.102062072615966,
linear,bridgeable,6,r2_nearest,0.3,2,4,96,-0.171070417562792,-0.141929805965801,-0.0291406115969911,0.102062072615966,
linear,bridgeable,6,r2_nearest,0.3,3,6,96,0.102730748112825,-0.0061087250526263,0.108839473165451,0.102062072615966,
linear,bridgeable,6,r2_random,0.2,1,5,96,-0.133708072857523,-0.0129734970693691,-0.120734575788154,0.102062072615966,
linear,bridgeable,6,r2_random,0.2,2,9,96,0.725426608386733,0.0688711301956605,0.656555478191073,0.102062072615966,
linear,bridgeable,6,r2_random,0.3,1,5,96,-0.133708072857523,-0.0129734970693691,-0.120734575788154,0.102062072615966,
linear,bridgeable,6,r2_random,0.3,2,9,96,0.725426608386733,0.0688711301956605,0.656555478191073,0.102062072615966,
linear,bridgeable,6,r2_targeted,0.2,1,9,96,0.725426608386733,0.0688711301956605,0.656555478191073,0.102062072615966,
linear,bridgeable,6,r2_targeted,0.3,1,9,96,0.725426608386733,0.0688711301956605,0.656555478191073,0.102062072615966,
linear,bridgeable,6,rinf_targeted,0.2,1,9,96,0.725426608386733,0.0688711301956605,0.656555478191073,0.102062072615966,
linear,bridgeable,6,rinf_targeted,0.2,2,6,96,0.102730748112825,-0.0061087250526263,0.108839473165451,0.102062072615966,
linear,bridgeable,6,rinf_targeted,0.2,3,4,96,-0.171070417562792,-0.141929805965801,-0.0291406115969911,0.102062072615966,
linear,bridgeable,6,rinf_targeted,0.3,1,9,96,0.725426608386733,0.0688711301956605,0.656555478191073,0.102062072615966,
linear,bridgeable,6,target_only,0.2,1,10,96,-0.0191293099451927,0.0820193762430015,-0.101148686188194,0.102062072615966,1
linear,bridgeable,6,target_only,0.2,2,10,96,-0.112803566855902,0.0765117605698317,-0.189315327425734,0.102062072615966,2
linear,bridgeable,6,target_only,0.2,3,10,96,0.0363658814090577,-0.0362079768059751,0.0725738582150328,0.102062072615966,3
linear,bridgeable,6,target_only,0.3,1,10,96,-0.0191293099451927,0.0820193762430015,-0.101148686188194,0.102062072615966,1
linear,bridgeable,7,r2_nearest,0.2,1,5,96,0.0585764009704915,-0.0432373591435884,0.10181376011408,0.102062072615966,
linear,bridgeable,7,r2_nearest,0.2,2,6,96,0.162552989624417,-0.0922597343675618,0.254812723991979,0.102062072615966,
linear,bridgeable,7,r2_nearest,0.2,3,4,96,-0.171257779633685,-0.00839301793164041,-0.162864761702045,0.102062072615966,
linear,bridgeable,7,r2_nearest,0.3,1,5,96,0.0585764009704915,-0.0432373591435884,0.10181376011408,0.102062072615966,
linear,bridgeable,7,r2_nearest,0.3,2,6,96,0.162552989624417,-0.0922597343675618,0.254812723991979,0.102062072615966,
linear,bridgeable,7,r2_random,0.2,1,4,96,-0.171257779633685,-0.00839301793164041,-0.162864761702045,0.102062072615966,
linear,bridgeable,7,r2_random,0.2,2,8,96,0.525822039653842,0.0352764225680848,0.490545617085758,0.102062072615966,
linear,bridgeable,7,r2_random,0.3,1,4,96,-0.171257779633685,-0.00839301793164041,-0.162864761702045,0.102062072615966,
linear,bridgeable,7,r2_random,0.3,2,8,96,0.525822039653842,0.0352764225680848,0.490545617085758,0.102062072615966,
linear,bridgeable,7,r2_targeted,0.2,1,9,96,0.640879859519908,-0.0788737132831693,0.719753572803077,0.102062072615966,
linear,bridgeable,7,r2_targeted,0.3,1,9,96,0.640879859519908,-0.0788737132831693,0.719753572803077,0.102062072615966,
linear,bridgeable,7,rinf_targeted,0.2,1,9,96,0.640879859519908,-0.0788737132831693,0.719753572803077,0.102062072615966,
linear,bridgeable,7,rinf_targeted,0.2,2,4,96,-0.171257779633685,-0.00839301793164041,-0.162864761702045,0.102062072615966,
linear,bridgeable,7,rinf_targeted,0.2,3,5,96,0.0585764009704915,-0.0432373591435884,0.10181376011408,0.102062072615966,
linear,bridgeable,7,rinf_targeted,0.3,1,9,96,0.640879859519908,-0.0788737132831693,0.719753572803077,0.102062072615966,
