surface,scenario,tolerance,scope,comparator,metric,targeted_minus_comparator,lower,upper,n_pairs
ALL,bridgeable,0.2,pooled,rinf_targeted,new_n,-60.96,-62.4,-59.36,600
ALL,bridgeable,0.2,pooled,rinf_targeted,bad_release,0,0,0,600
ALL,bridgeable,0.2,pooled,r2_random,released,0.28,0.255,0.305,600
ALL,bridgeable,0.2,pooled,r2_random,new_n,-34.4,-37.92,-30.72,600
ALL,bridgeable,0.2,pooled,r2_random,bad_release,0,0,0,600
ALL,bridgeable,0.2,pooled,r2_nearest,released,0.665,0.661666666667,0.666666666667,600
ALL,bridgeable,0.2,pooled,r2_nearest,new_n,-60.96,-62.4,-59.36,600
ALL,bridgeable,0.2,pooled,r2_nearest,bad_release,0,0,0,600
ALL,bridgeable,0.2,pooled,r2_static,released,0.665,0.661666666667,0.666666666667,600
ALL,bridgeable,0.2,pooled,r2_static,new_n,227.04,225.6,228.64,600
ALL,bridgeable,0.2,pooled,r2_static,bad_release,0,0,0,600
ALL,bridgeable,0.2,pooled,target_only,released,-0.335,-0.338333333333,-0.333333333333,600
ALL,bridgeable,0.2,pooled,target_only,new_n,-60.96,-62.4,-59.36,600
ALL,bridgeable,0.2,pooled,target_only,bad_release,0,0,0,600
ALL,bridgeable,0.3,pooled,rinf_targeted,released,0.653333333333,0.643333333333,0.661666666667,600
ALL,bridgeable,0.3,pooled,rinf_targeted,new_n,-103.68,-106.24,-100.96,600
ALL,bridgeable,0.3,pooled,rinf_targeted,bad_release,0,0,0,600
ALL,bridgeable,0.3,pooled,r2_random,released,0,0,0,600
ALL,bridgeable,0.3,pooled,r2_random,new_n,-41.76,-46.24,-37.44,600
ALL,bridgeable,0.3,pooled,r2_random,bad_release,0,0,0,600
ALL,bridgeable,0.3,pooled,r2_nearest,released,0,0,0,600
ALL,bridgeable,0.3,pooled,r2_nearest,new_n,-123.68,-128,-119.2,600
ALL,bridgeable,0.3,pooled,r2_nearest,bad_release,0,0,0,600
ALL,bridgeable,0.3,pooled,r2_static,released,1,1,1,600
ALL,bridgeable,0.3,pooled,r2_static,new_n,117.92,115.84,120,600
ALL,bridgeable,0.3,pooled,r2_static,bad_release,0,0,0,600
ALL,bridgeable,0.3,pooled,target_only,released,0,0,0,600
ALL,bridgeable,0.3,pooled,target_only,new_n,21.92,19.84,24,600
ALL,bridgeable,0.3,pooled,target_only,bad_release,-0.00166666666667,-0.005,0,600
ALL,supported,0.2,pooled,rinf_targeted,released,0,0,0,600
ALL,supported,0.2,pooled,rinf_targeted,new_n,0,0,0,600
ALL,supported,0.2,pooled,rinf_targeted,bad_release,0,0,0,600
ALL,supported,0.2,pooled,r2_random,released,0,0,0,600
ALL,supported,0.2,pooled,r2_random,new_n,0,0,0,600
ALL,supported,0.2,pooled,r2_random,bad_release,0,0,0,600
ALL,supported,0.2,pooled,r2_nearest,released,0,0,0,600
ALL,supported,0.2,pooled,r2_nearest,new_n,0,0,0,600
ALL,supported,0.2,pooled,r2_nearest,bad_release,0,0,0,600
ALL,supported,0.2,pooled,r2_static,released,0,0,0,600
ALL,supported,0.2,pooled,r2_static,new_n,0,0,0,600
ALL,supported,0.2,pooled,r2_static,bad_release,0,0,0,600
ALL,supported,0.2,pooled,target_only,released,0,0,0,600
ALL,supported,0.2,pooled,target_only,new_n,-288,-288,-288,600
ALL,supported,0.2,pooled,target_only,bad_release,-0.005,-0.0116666666667,0,600
ALL,supported,0.3,pooled,rinf_targeted,released,0,0,0,600
ALL,supported,0.3,pooled,rinf_targeted,new_n,0,0,0,600
